id;order;family;genera;species;author;tax_ver;nature_BR;nativa_AF;Cnc_classification;floweringstart_month;floweringperiod_month;plantgrowth;flower_color_1;flower_color_2;flower_shape;odour;anthesis_time;corolla_length_mm;corolla_length_mm_sd;nectar_volume;nectar_volume_uL_SD;nectar_concentration_brix%;nectar_concentration_brix%_SD;observation_time_hour;n_input;;
75;Fabales;Fabaceae;Camptosema;scarlatinum;(Mart. ex Benth.) Bukart;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;7;l;r;NA;f;NA;NA;29.70;1.00;2.57;0.75;25.10;3.90;9.3;2;;
76;Fabales;Fabaceae;Collaea;speciosa;(Loisel.) DC.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;2;10;b;r;NA;f;a;d;26.05;1.30;2.98;0.29;24.70;6.53;37.4;2;;
77;Fabales;Fabaceae;Dahlstedtia;pentaphylla;(Taub.) Burkart;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;11;tr;r;NA;t;NA;NA;42.48;1.90;NA;NA;NA;NA;NA;2;;
78;Fabales;Fabaceae;Dahlstedtia;pinnata;(Benth.) Malme;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;9;t;r;NA;t;a;d;34.41;2.50;4.30;1.87;17.92;1.99;504.3;14;;
79;Fabales;Fabaceae;Dioclea;sp.;Kunth;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;r;NA;NA;NA;NA;NA;NA;NA;NA;24.00;NA;NA;1;;
80;Fabales;Fabaceae;Erythrina;crista-galli*;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;tr;r;NA;t;NA;NA;47.15;2.40;4.49;35.02;21.02;2.16;84.0;2;;
81;Fabales;Fabaceae;Erythrina;falcata;Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;11;tr;r;NA;t;a;d;42.87;0.60;3.68;1.6;15.75;0.95;103.0;5;;
82;Fabales;Fabaceae;Erythrina;fusca;Lour.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;8;1;tr;r;NA;t;NA;NA;41.20;0.50;NA;NA;NA;NA;NA;1;;
83;Fabales;Fabaceae;Erythrina;speciosa;Andrews;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;7;t;r;NA;t;a;b;40.26;3.23;2.41;1.75;25.26;4.51;293.6;16;;
84;Fabales;Fabaceae;Erythrina;velutina;Willd.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;8;6;tr;r;NA;t;NA;d;NA;NA;NA;NA;13.00;NA;11.0;2;;
85;Fabales;Fabaceae;Erythrina;verna;Vell.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;8;9;t;r;NA;t;a;d;NA;NA;NA;NA;NA;NA;65.0;2;;
86;Fabales;Fabaceae;Hymenaea;courbaril;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;NA;NA;tr;NA;NA;h;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
87;Fabales;Fabaceae;Inga;edulis;Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;7;tr;w;NA;h;p;b;11.05;0.76;2.58;0.40;16.15;1.90;13.0;3;;
88;Fabales;Fabaceae;Inga;ingoides;(Rich.) Willd.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;tr;NA;NA;h;NA;d;14.00;2.00;4.52;0.06;8.40;0.30;42.0;1;;
89;Fabales;Fabaceae;Inga;marginata;Willd.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;9;11;tr;w;NA;h;p;d;3.69;0.63;0.09;0.03;6.20;1.32;40.0;2;;
90;Fabales;Fabaceae;Inga;sessilis;(Vell.) Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;10;tr;w;NA;h;NA;b;15.90;4.80;6.17;NA;9.30;NA;50.0;3;;
91;Fabales;Fabaceae;Inga;sp. 1;Mill.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
92;Fabales;Fabaceae;Inga;sp. 2;Mill.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;1;;
