id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
1319;-25.31;-48.7;Inga;Inga;edulis;Mart.;edulis;Mart.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;0.25
1320;-25.31;-48.7;Inga;Inga;edulis;Mart.;edulis;Mart.;Trochilinae;Chlorostilbon;Chlorostilbon;lucidus;Shaw;lucidus;(Shaw, 1812);hummingbird;NA;p;0.25
1321;-25.31;-48.7;Inga;Inga;edulis;Mart.;edulis;Mart.;Trochilinae;Florisuga;Florisuga;fusca;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;0.5
1322;-25.31;-48.7;Manettia;Manettia;luteorubra;(Vell.) Benth.;luteo-rubra;(Vell.) Benth.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;1
1323;-25.31;-48.7;Mendoncia;Mendoncia;velloziana;Mart.;velloziana;Mart.;Trochilinae;Florisuga;Florisuga;fusca;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;0.17
1324;-25.31;-48.7;Mendoncia;Mendoncia;velloziana;Mart.;velloziana;Mart.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.83
1325;-25.31;-48.7;Musa;Musa;balbisiana;Cola;balbisiana;Cola;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;0.07
1326;-25.31;-48.7;Musa;Musa;balbisiana;Cola;balbisiana;Cola;Trochilinae;Florisuga;Florisuga;fusca;Vieillot;fusca;(Vieillot, 1817);hummingbird;NA;p;0.01
1327;-25.31;-48.7;Musa;Musa;balbisiana;Cola;balbisiana;Cola;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.32
1328;-25.31;-48.7;Musa;Musa;balbisiana;Cola;balbisiana;Cola;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.6
1329;-25.31;-48.7;Nematanthus;Nematanthus;tessmannii;(Hoehne) Chautems;tessmannii;(Hoehne) Chautems;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1330;-25.31;-48.7;Nidularium;Nidularium;innocentii;Lem.;innocentii;Lem.;Phaethornithinae;Phaethornis;Phaethornis;eurynome;Lesson;eurynome;(Lesson, 1832);hummingbird;NA;p;0.06
1331;-25.31;-48.7;Nidularium;Nidularium;innocentii;Lem.;innocentii;Lem.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.94
1332;-25.31;-48.7;Nidularium;Nidularium;procerum;Lindm.;procerum;Lindm.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1333;-25.31;-48.7;Pachystachys;Pachystachys;coccinea;(Aubl.) Nees;coccinea;(Aubl.) Nees;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1334;-25.31;-48.7;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;0.01
1335;-25.31;-48.7;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.5
1336;-25.31;-48.7;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.49
1337;-25.31;-48.7;Psychotria;Psychotria;suterella;Müll.Arg.;suterella;Müll.Arg.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;p;0.29
1338;-25.31;-48.7;Psychotria;Psychotria;suterella;Müll.Arg.;suterella;Müll.Arg.;Trochilinae;Amazilia;Amazilia;versicolor;Vieillot;versicolor;(Vieillot, 1818);hummingbird;NA;p;0.14
1339;-25.31;-48.7;Psychotria;Psychotria;suterella;Müll.Arg.;suterella;Müll.Arg.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.29
1340;-25.31;-48.7;Psychotria;Psychotria;suterella;Müll.Arg.;suterella;Müll.Arg.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.29
1341;-25.31;-48.7;Rubus;Rubus;rosifolius;Sm.;rosifolius;Sm.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;1
